,alpha,pointestimate,lowerHPDI50,higherHPDI50,lowerHPDI70,higherHPDI70,lowerHPDI90,higherHPDI90
1,0.7,0.721619034,0.659011759,0.738465182,0.649800418,0.785358424,0.622123008,0.926776788
2,0.788888889,0.775050338,0.627801388,1.014110071,0.533023928,1.133499377,0.221905854,1.149693016
3,0.877777778,1.034945214,0.88214977,1.183050274,0.787855267,1.266213823,0.671447091,1.462991729
4,0.966666667,1.071074382,0.922217056,1.235068477,0.86851423,1.353431846,0.676990926,1.461417401
5,1.055555556,1.002932827,0.882553832,1.21325508,0.719720491,1.241981037,0.576150373,1.415679007
6,1.144444444,1.621379502,1.490083761,1.768403205,1.398357249,1.836792665,1.285271995,1.947372757
7,1.233333333,1.362390048,1.244825425,1.518336087,1.149418112,1.568176104,1.000537418,1.667812274
8,1.322222222,1.467713508,1.326536295,1.597171477,1.26538879,1.677700708,1.105697565,1.799786746
9,1.411111111,1.748363259,1.626318701,1.897134081,1.531933786,1.952991426,1.361589556,2.058255781
10,1.5,1.551359152,1.420515608,1.702163257,1.304545943,1.738484012,1.20054678,1.904455163
